i: 317	t: 0.010567	in: 0.677955	or: 0.339120	oi: -0.139623
i: 318	t: 0.010600	in: 0.927723	or: 0.339303	oi: -0.137798
i: 319	t: 0.010633	in: 1.106246	or: 0.339476	oi: -0.135997
i: 320	t: 0.010667	in: 1.203111	or: 0.339639	oi: -0.134187
i: 321	t: 0.010700	in: 1.213958	or: 0.339807	oi: -0.132406
i: 322	t: 0.010733	in: 1.140622	or: 0.339980	oi: -0.130621
i: 323	t: 0.010767	in: 0.990830	or: 0.340144	oi: -0.128832
i: 324	t: 0.010800	in: 0.777476	or: 0.340291	oi: -0.127039
i: 325	t: 0.010833	in: 0.517546	or: 0.340447	oi: -0.125253
i: 326	t: 0.010867	in: 0.230780	or: 0.340608	oi: -0.123489
i: 327	t: 0.010900	in: -0.061826	or: 0.340756	oi: -0.121712
i: 328	t: 0.010933	in: -0.339569	or: 0.340900	oi: -0.119952
i: 329	t: 0.010967	in: -0.583512	or: 0.341055	oi: -0.118171
i: 330	t: 0.011000	in: -0.777790	or: 0.341196	oi: -0.116435
i: 331	t: 0.011033	in: -0.910643	or: 0.341331	oi: -0.114672
i: 332	t: 0.011067	in: -0.975127	or: 0.341489	oi: -0.112917
i: 333	t: 0.011100	in: -0.969439	or: 0.341624	oi: -0.111190
i: 334	t: 0.011133	in: -0.896862	or: 0.341757	oi: -0.109443
i: 335	t: 0.011167	in: -0.765335	or: 0.341886	oi: -0.107698
i: 336	t: 0.011200	in: -0.586699	or: 0.342015	oi: -0.105961
i: 337	t: 0.011233	in: -0.375679	or: 0.342132	oi: -0.104238
i: 338	t: 0.011267	in: -0.148697	or: 0.342280	oi: -0.102503
i: 339	t: 0.011300	in: 0.077404	or: 0.342381	oi: -0.100781
i: 340	t: 0.011333	in: 0.286613	or: 0.342495	oi: -0.099066
i: 341	t: 0.011367	in: 0.464893	or: 0.342624	oi: -0.097355
i: 342	t: 0.011400	in: 0.601133	or: 0.342745	oi: -0.095646
i: 343	t: 0.011433	in: 0.687836	or: 0.342859	oi: -0.093922
i: 344	t: 0.011467	in: 0.721512	or: 0.342966	oi: -0.092228
i: 345	t: 0.011500	in: 0.702749	or: 0.343067	oi: -0.090522
i: 346	t: 0.011533	in: 0.635967	or: 0.343175	oi: -0.088820
i: 347	t: 0.011567	in: 0.528898	or: 0.343287	oi: -0.087116
